VR361,哲学伦理学,Philosophical Ethics,4,60,,,Intellectual Breadth,Humanities,,50,Rockwell Clancy,,
VR363,当代中国电影中的中国社会,Chinese Society in Contemporary Chinese Cinema,3,45,,"sophomore or above preferred, Chinese language level: HSK Level 5",Intellectual Breadth,Humanities,,40,Xuelian Zhang,,
VR367,全球企业和可持续发展,Global Enterprise and Sustainable Development ,3,45,,,Intellectual Breadth,Natural Sciences,,45,Ming Xu (UM),,
VR369,国际经济关系,Politics of International Economic Relations,3,45,,sophomore or above,Intellectual Breadth,Social Sciences,,45,Sam Ro,,
VR380,亚洲研究,Topics in Asian Studies: Political and Ecnonomic Development in Pacific Asia,3,45,,sophomore or above,Intellectual Breadth,Social Sciences,,25,Sam Ro,,
VR381,社会科学研究设计,Introduction to Social Science Research Design,3,45,,,Intellectual Breadth,Social Sciences,,30,Sam Ro,,
VR399,多元文化适应,Multicultural Adaptation in the United States,3,45,,,Intellectual Breadth,Humanities,,45,Andrew Yang,,
VR440,中国法律史,Chinese Legal History,4,60,,,Intellectual Breadth,Social Sciences,,,Pär Cassel (UM),,
VS185,微积分I,Calculus I,4,60,,,General Elective,,,,,,
VS186,微积分II,Calculus II,4,60,,,General Elective,,,,,,
VS285,微积分III,Calculus III,4,60,,,General Elective,,,,,,
VS286,微分方程,Differential Equations,4,60,,,General Elective,,,,,,
VV115,微积分（1）,Calculus I,4,60,,,General Elective,,,,Jing Liu,Grade Type: P/F. Not for GPA. ,
VV116,微积分（2）,Calculus II,4,60,,VV115,Engineering Foundation,,,,Jing Liu,,
VV155,大学基础数学,Applied Calculus I,4,60,,,None,,,30,Jing Liu,Grade Type: P/F. Not for GPA. Not for graduation. Not offered after summer 2016.,
VV156,高等数学A1,Honors Calculus II,4,60,,,Engineering Foundation,,,,Jing Liu,曾用名Applied Calculus II/Applied Honors Calculus II,
VV186,高等数学B1,Honors Mathematics II,4,60,,,Engineering Foundation,,,,Horst Hohberger,曾用名Honors Mathematics II/Honors Calculus II,
VV214,线性代数,Linear Algebra,4,60,,,Program Subject,,,,Jing Liu,"Required for ME from 2013, general elective for others",
VV215,微积分（3）,Calculus III,4,60,,VV116,Engineering Foundation,,,,Jing Liu,,
VV216,微分方程,Calculus IV,4,60,,VV215,Engineering Foundation,,,,Jing Liu,曾用名Introduction to Differential Equations,
VV255,高等数学A2,Honors Calculus III,4,60,,Vv116/156/186,Engineering Foundation,,,,Jing Liu,曾用名Applied Calculus III/Applied Honors Calculus III,
